Vendor_Formal_Name,Vendor_DBA,Contact_Name,telephone,fax,Email,certification,Cert_Renewal_Date,Ethnicity,Address1,Address2,City,State,ZIP,MailingAddress1,MailingAddress2,MailingCity,MailingState,MailingZip,Website,Date_Of_Establishment,Aggregate_Bonding_Limit,Signatory_To_Union_Contracts,Business_Description,Goods_Materials_Suplier,Types_of_Construction_Projects,Job_Exp1_Name_of_Client,Job_Exp1_Value_of_Contract,Job_Exp1_Percent_Self_Performed,DATEOFJOB1,EXPERIENCE1,Job_Exp2_Name_of_Client,Job_Exp2_Value_of_Contract,Job_Exp2_Percent_Self_Performed,DATEOFJOB2,EXPERIENCE2,Job_Exp3_Name_of_Client,Job_Exp3_Value_of_Contract,Job_Exp3_Percent_Self_Performed,DATEOFJOB3,EXPERIENCE3,Job_Exp4_Name_of_Client,Job_Exp4_Value_of_Contract,Job_Exp4_Percent_Self_Performed,DATEOFJOB4,EXPERIENCE4
"Team Brown Consulting, Inc.",,Edward Brown,3475817241,718 865-8163,edbrown@teambrownconsulting.com,MBE,11/29/2019,BLACK,68 Jay Street,Ste.# S-10,Brooklyn,NY,11201,68 Jay Street,Ste. #  S -10,Brooklyn,New York,11201,http://www.teambrownconsulting.com,06/12/2013,,,"Professional construction, community and economic development management and consultation.",,,Two Trees,26400,100,03/01/2013,Implement and manage their initiative to increase local and minority employment,Two Tress,259740,100,11/24/2014,Implement and manage their initiative to increase local and minority employment,,0,,,,,0,,,
"LB Electric Co., LLC",,Leon Baptiste,9735712200,973 571-2240,lbaptiste@lbelectricco.com,MBE,09/30/2015,BLACK,120 Route 9W North,,Haverstraw,NY,10927,120 Route 9 W North,,Haverstraw,New York,10927,http://www.lbelectricco.com,01/01/1999,20000000,Electrical Workers 3,"LB Electric Co., is a versatile company specializing in electrical contracting, engineering systems designs, testing, renewable energy systems, training and installation.",,,Public Service Electric & Gas/Newark Central HS,2695867,,01/20/2011,500 KW Solar Installation ROof,Schavione Construction/Palisades Tunnel,8502504.2,,06/01/2010,Temporary power and lighting,Starlo Electric Co./Meadowlands Arena,6169830.27,,06/01/2010,"Electric Power Distribution, lighting, fire alarm, and control work",,0,,,
"Champion Restoration & Cleaning, LLC",,Dennis Sumter,8434556623,6466495539,dsumter66@gmail.com,MBE,10/31/2017,BLACK,2527A Frederick Douglas Blvd.,,New York,NY,10030,2527A Frederick Douglas Blvd.,,New York,New York,10030,,03/10/2011,,,"Champion Restoration & Cleaning Service, LLC is  a construction and cleaning service in New York, NY , that provides commercial and residential cleanups, but we do more than just tidy up. Our experts offer flooring services, as well as masonry, ceramic, granite, and marble options. We even provide home remodeling, floor installation, and lighting services. Our staff consists of AIA Regestered Architect; Licensed Electricians; Master Plumbers; Carpenters; and a dedicated team of OSHA certified laborers who not only take pride in their works, but we fully stand behind them. We offer commercial and residential janitorial and maintenance contracting.",,,Lenox Food Market,32000,,06/01/2014,Demolition and Renovation,"Housingworks, Inc",38000,,01/01/2015,Responsible for the upkeep and total renovation of dozens of scattered site apartment units.,,0,,,,,0,,,
"Tres Construction, LLC",,Irene Kalergios,7184331973,718 361-8906,irene@tresconstruction.com,WBE,,NON-MINORITY,20-62 26th Street,,Astoria,NY,11105,20-62 26th Street,,Astoria,New York,11105,,02/06/1996,20000,,General construction work/ interior & exterior construction in an array of public & private sectors.,,,Milford Mgmt,165398,,03/01/2011,Exterior Facade Repair and sidewalk bridging,Sedqwick Housing,189500,,11/01/2012,Demo and remove of entire roof system and install new system,Orsid Realty,279648,,01/01/2013,complete parapet wal reconstruction and facade replacement,,0,,,
WORLD CONTRACTING INC.,,Nestor Sinchi,7184857777,7184850777,worldcontracting@hotmail.com,MBE,03/30/2020,HISPANIC,25-06 Atlantic Ave.,,Brooklyn,NY,11207,25-06 Atlantic Ave.,,Brooklyn,New York,11207,,06/03/2008,,,"World Contracting Inc., makes selective or interior and exterior demolitions, gives services of containers, removes garbage. Cleans of debris and general garbage.",,,Vartel Constructin Corp.,145000,100,08/20/2013,"Demolition work-remove chain link fence, concrete wall, concrete loading platform, awning & columns.",Subolo Contracting,80000,100,07/12/2013,"Demolition work-Remove projector, fin tube rad, existing benches, marker boards, doors & frames, flooring, casework, ceiling, ramp, window, computer furniture, applicances.",IJS Associates,70000,100,10/06/2014,"Demolition work-Remove burners, associated piping, steel platform and gratings, steam generating unit, steampiping.",BDM Solution,400000,100,07/14/2014,"Demolition work-Remove windows, existing stairs and walls, existing floor, brick wall, concrete slab, metal fence, bulkhead, AC units, create opening new stairs."
"Attri Enterprises, Inc.",,Shri Attri,7184867395,718 384-6788,office@attrienterprises.com,MBE,03/31/2018,ASIAN,892 Metropolitan Avenue,,Brooklyn,NY,11211,892 Metropolitan Avenue,,Brooklyn,New York,11211,,08/01/1986,25000000,,"Ahri Enterprises, Inc., specializes in roofing, general construction, masonry, carpentry, millwork & Icynene spray foam insulation.",,,Consolidated Edison Co. of New York,9000000,,03/01/2010,Locker Room roof rehab,PA NY/NJ,0,,01/01/2011,Roof Replacement,NYC Parks and Recreation & Historc,0,,01/01/2011,LA Guardia Airport,,0,,,
The Lindley Consulting Group LLC,,Vanessa Lindley,6464047007,718 228-7613,vanessa@thetlcgroup.org,MBE,02/28/2016,BLACK,100-51 223rd Street,,Queens Village,NY,11429,100-51 223rd Street,,Queens Village,New York,11429,,10/01/2010,,,"Provide technical assistance, training, writing evaluating in the areas of real estate, financial services, IT.",,,Neighbor Works America,16250,,09/01/2012,Provide tech assistance,Success Measures,26250,,10/01/2012,Provide tech assistance,Central NJ CDC,27000,,12/11/2012,Provide tech assistance,,0,,,
"Kiska Solutions, Inc.",,Richard Chen,7187671911,7182285980,richard.chen@kiskasolutions.com,MBE,07/31/2017,ASIAN,147-40 15th Avenue,2nd Floor,New York,NY,11357,147-40 15th Avenue,2nd Floor,New York,New York,11357,http://www.kiskasolutions.com,04/19/2004,,,"Design, installation and maintenance of security camera surveillance systems, intercom systems, electronic access control systems, alarm systems, business phone systems, and computer networks. Resale of computer related hardware and software.",,,Shinda Mgt Corp,150000,,09/01/2011,Intsall security camera,MDG Design Construction LLC,90000,,01/01/2012,Install new intercom,Urban Homesteading,64000,,02/01/2012,Install security camera,,0,,,
"F.W. Sims, Inc.",,Camile Shea,6314911441,631 491-1120,cshea@fwsims.com,WBE,,NON-MINORITY,101 Otis Street,,West Babylon,NY,11704,101 Otis Street,,West Babylon,New York,11704,http://www.fwsims.com,07/14/1976,40000000,,"Heating, ventilation and air conditioning contracting.",,,VRH Torcon,10000000,,01/01/2006,H.V.A.C. Contracting.,Tishman Construction Company,20000000,,01/01/2006,H.V.A.C. Contracting.,Turner Construction Company,8000000,,01/01/2006,H.V.A.C. Contracting.,Tishman Construction,114000000,,10/01/2010,HVAC Piping & Equipment
"Intra City Builders, Corp.",,Hector Gordon,8664739926,866 441-7865,hector@intracitybuilders.com,MBE,10/30/2019,BLACK,2005 Adam Clayton Jr. Blvd,1st Floor,New York,NY,10027,2005 Adam Clayton Jr. Blvd,1st Floor,New York,New York,10027,http://www.intracitybuilders.com,11/04/2010,,,Intra City is a general contracting firm located in New York City. We provide construction services for renovations and new construction both in the residential and commercial areas.,No,Residential Building Construction,Agape Builders Corp.,12500,70,09/25/2012,Painting and Drywall,Cove Lounge,5000,100,06/01/2014,Painting and Sheetrock,,0,,,,,0,,,
"Ingroup Networking, Inc.",,Marlene Pissott,2016121230,201 612-1232,marlene@ingroupinc.com,WBE,,NON-MINORITY,340 West Passaic Street,Floor 1,Rochelle Park,NJ,07662,P.O. Box 206,,Midland Park,New Jersey,07432,http://www.ingroupinc.com,07/25/1995,,,"Ingroup provides strategic and support services for marketing communications, public relations, and web. Support services include graphic design, editorial, special events, social media, web design, development, programming. We showcase core competency in outreach for online and offline marketing initiatives and other public ourtreach and comuuity involvement projects.",,,Transit Link Consultants (NJ Transit),523000,,12/28/2008,"community outreach and public involvement - support for NY / NJ providing meeting coordination & development of materials (i.e.: brochures, website, boards, etc.)","Girl Scouts of Central & Southern NJ, Inc.",193753,,12/30/2010,"creative development and production for website, newsletters, brochures, annual reports, etc.","AKRP, Inc.",17294,,12/14/2010,"community outreach and public involvement support including stakeholder identification, meeting coordination, materials development, etc.",PANY&NJ,250000,,01/01/2013,The FHWA and the PANY&NJ are proposing to prepare Tier 1 of the EIS to evaluate alternatives to anhance the movement of freight across New York Harbor.
Gmacksonic Productions Inc.,GMAC Media Technologies,Gary McKenzie,9175351432,855 495-4622,gary@gmacmedia.com,MBE,07/30/2020,BLACK,1088 E73rd Street,Apt# 3C,Brooklyn,NY,11234,1088 E73rd Street,Apt# 3C,Brooklyn,New York,11234,http://www.gmacmediatech.com,08/28/2006,,,"Audio, Video, Lighting, Acoustics Designers and Equipment Integrator.  We sell audio, video, lighting, equipment directly to the customer. This equipment is installed according to specs. We service the equipment after installation. We are also dealers for most of the AVL manufactures.",,,Jesus Christ Tabernacle,121700,90,12/01/2014,Audio Video Lighting Purchase and Install,Iglesia Roca,37000,100,09/01/2014,Audio Purchase and Install,Metro District,5500,100,05/01/2015,Media Production Coverage for the Conference,Jesus Christ Tabernacle,121700,90,12/01/2014,Audio Video Lighting Purchase and Install
M. Ali Construction Inc,,Mohammed Ali,3474009922,718 438-2150,maliconstruction@gmail.com,MBE,05/31/2017,ASIAN,250 Ocean Parkway,Suite 2B,Brooklyn,NY,11218,250 Ocean Parkway,Suite 2B,Brooklyn,New York,11218,http://www.maliconstruction.com,02/22/2008,,,"Construction, Concrete Contractor, Masonry Contractor",,,GFI Management,45000,,09/01/2010,Masonry Restoration,Benner Realty,60000,,01/01/2012,"Exterior masonry, restoration and roof repairs",East Coast Management,300000,,12/01/2011,"Masonry restoration, concrete, roofing",,0,,,
Illumination Arts LLC,,Faith Baum,9737711556,973 954-4683,fbaum@illuminationarts.com,WBE,,NON-MINORITY,650 Glenwood Ave,Suite 101,Bloomfield,NJ,07003,650 Bloomfield Ave,Suite 101,Bloomfield,New Jersey,07003,http://www.illuminationarts.com,06/01/1977,,,"Illumination Arts provides architectural lighting design services for all types of  interior and exterior projects in all market sectors including civic, transportation, academic, corporate, retail, criminal justice, etc.",,,Parsons Transportation Group of New York,116500,,04/01/2012,"Illumination Arts was on the winning team for this design/build, public/private partnership.",FXFOWLE,109000,,07/01/2013,Historic luminaires were restored to their original beauty.,RMJM/Hillier,61000,,09/01/2011,"Lighting supports the learning environments throughout this building, including collaborative study spaces for the largely commuter-student.",,0,,,
Morell-Brown Corporation,,Francesca Barbaro,7186652489,7186652592,morellbrown@aol.com,"MBE,WBE",08/31/2016;08/31/2016,HISPANIC,723 East 140th St,,Bronx,NY,10454,723 East 140th Street,,Bronx,New York,10454,http://www.morellbrown.com,07/01/1994,3500000,,Spray on insulation,,,Turner Construction,5000000,,07/06/2007,Spray on insulation.,Skanka,1000000,,01/01/2009,Spray on insulation.,Bovis Lend Lease,1300000,,06/01/2010,Spray on insulation.,,0,,,
Hay Mechanical Solutions Corp.,,Christopher Hay,7182912620,718 291-2620,haymech@gmail.com,MBE,02/28/2019,BLACK,114-53 174th Street,,Jamaica,NY,11434,114-53 174th Street,,Jamaica,New York,11434,,08/07/2003,,,"Hay Mechanical Solution Corp. is a license plumbing heating and HVAC piping contractors. Sanitary drain, piping, domestic hot & cold, boiler installation, gas piping installation, chilled water piping, condenser water piping.",No,"Building Construction (non-Residential); Residential Building Construction; Sewer and/or Water Mains; Site work, i.e. Parks",Park & Recreation Dept. / A1 United Enterprises,24000,100,04/17/2013,Installation of water service.  Install plumbing system.,Park & Recreation Dept. / Niko Development Corp.,11000,100,06/21/2013,Installation of plumbing system.,HANOC / Mega Contracting,250000,100,09/01/2012,Installation 2-1 mil BTU boiler.  Renovation of kitchen.,GSA / Synthesis Inc.,650000,100,10/15/2013,Installation of new 24' pipe for conolensing water and pump.
OMJ Enterprise,,Owen Jackson,7187917520,7185198138,omjinc@aol.com,MBE,07/30/2019,BLACK,2930 Williamsbridge Road,,Bronx,NY,10467,2930 Williamsbridge Road,,Bronx,New York,10467,,12/12/1997,,,"HVAC duct installation, HVAC thermal insulation, HVAC shop drawings and installation, supervision procuring of small HVAC equipment & materials.",,,Matrix Mechanical,53800,100,02/01/2012,Furnish and install thermal insulation for mechanical piping.,Matrix Mechanical,44290,100,07/01/2012,Furnish and install thermal insulation for ducts and pipe.,Geo Tech Corp.,320000,100,05/01/2013,Thermal insulation of mechanical systems.,,0,,,
Dipak Contracting Co.,,Dipak Das,7188360156,718 836-4728,ddasny@yahoo.com,MBE,02/28/2018,ASIAN,355 79th Street,,Brooklyn,NY,11209,355 79th Street,,Brooklyn,New York,11209,,03/03/1993,,,"Building repair, renovation, roofing, maintenance, sidewalk, driveway,  carpentry and brick job.",,,Vedanta Society,75000,,07/01/2008,Roof Wooden Floor Painting Plumbing Carpentry,Lucy Greger,50000,,06/01/2007,Roof Steam Cleaning Brick Pointing,NYC HPD,6699,,03/13/2012,Sheetrock Compound Prime Paint,,0,,,
Talico Construction Corp.,,Manmohan Singh,6464417500,516 887-1446,talicoconstruction@yahoo.com,MBE,11/30/2016,ASIAN,58 Marlowe Road,,Valley Stream,NY,11580,58 Marlowe Road,,Valley Stream,New York,11580,,01/04/2006,,,"Scaffolding, masonry, painting, carpentry, tiling and wallboard frywall instalation work.  We have experience for over ten years of residential and commercial work on the above mentioned classifications.",,,AoloCo,584000,,05/20/2010,"Sidewalk shed, scaffolding",Nirman Cons.,85000,,05/09/2010,"Sidewalk shed, scaffolding, Masonry",,0,,,,,0,,,
"Riggs Construction Co., Inc.",,Michael DeRiggs,7183986423,718 398-6424,mike@riggsusa.com,MBE,06/29/2019,BLACK,213 Washington Avenue,,Brooklyn,NY,11205,213 Washington Avenue,,Brooklyn,New York,11205,http://www.riggsusa.com,02/04/1992,3500000,,"Riggs Construction is a full service GC firm with roofing and carpentry as the primary trades. Riggs is also certified as a DBE, MBE firm. We are certified installers for Tremco, Firestone, John Manville GAF and CertainTeed. We are prequalified and approved to work with NYCSCA, NYC Parks Dept, MTA, and DASNY.",No,Building Construction (non-Residential); Residential Building Construction,Promese Inc.,389000,70,04/12/2013,"Carpentry, Painting, Plumbing, Electrical, Millwork, HVAC.",NYC SCA,284000,25,02/09/2013,"New Playgound Equipment, Landscaping, Painting and Concrete.",MTA / LIRR,411000,25,02/02/2011,Guardrail Installation at Queens Village Station.,NYC SCA / Out to Play,1165118,30,06/08/2012,"Playground Installation, Landscaping, Painting. Concrete and Asphalt."
Acosta Security Corp.,,Yery Acosta,7185309282,7183039830,yery1@acostasecurity.com,MBE,07/31/2017,HISPANIC,107-32 Pinegrove Street,,Jamaica,NY,11435,107-32 Pinegrove Street,,Jamaica,New York,11435,http://www.acostasecurity.com,09/30/2008,,,"Alarm monitoring (through third party), alarm install, cctv, intercoms and access controll, install and maintenance of telephone systems",,,United Management Corp.,26250,,02/01/2012,"At 611 Banner Ave. replace all wiring for intercoms of 102 apts. install 102 intercoms, install lobby intercom, install access control card reader at 3 entrances",Cedar Management,5959,,12/06/2010,"At 76-78 Horatio NY, NY installed new intercom with camera and prox card to open door at 2 entrances",PMG,8450,,02/01/2012,"At 21-14 33rd, install video intercom/cameras, and access control for 10 apts.",,0,,,
"Jillphotography.com, LLC",,Jill Lotenberg,9179212303,,jill@jillphotography.com,WBE,,NON-MINORITY,211 East 35th Street,Suite 5F,New York,NY,10016,211 East 35th Street,Suite 5F,New York,New York,10016,http://www.jillphotography.com,04/07/2008,,,"Commercial photography services include architecture, editorial, events portraiture and advertising assignments, videography.",,,Halstead Property,12000,,05/01/2012,Headshots of agents and brokers,Mann Publications,12000,,05/01/2012,Photo assignments for magazine covers,Sun & Moon Marketing,13000,,03/17/2010,Building marketing photos,,0,,,
Penserra Securities LLC,,George Madrigal,8004568850,866 340-8584,george.madrigal@penserra.com,MBE,12/31/2018,HISPANIC,140 Broadway,26th Floor,New York,NY,10005,140 Broadway,26th Floor,New York,New York,10005,http://www.penserra.com,02/27/2007,25000,,"Penserra provides institutional financial services including global equity trading fixed income trading, investment banking, transition management, ETF special services, corporate stock/debt repurchase, and private placements.",,,,0,,,,,0,,,,,0,,,,,0,,,
"Constructomics, LLC",,Trevor Prince,2123372300,2123373570,tprince@constructomics.com,MBE,07/31/2016,BLACK,40 Broad Street,4th Floor,New York,NY,10004,40 Broad Street,4th Floor,New York,New York,10004,http://www.constructomics.com,07/28/2004,75000000,,"Construction manager, general contractor, experience in green building",,,St. John's University,5300000,,01/01/2008,"Carnesecca arena, sports facility, Phase construction",Manchester Real Estate & Const.,18000000,,04/01/2007,"Infrastructure upgrade, Manhattan house",Metropolitan Museum of Art,434529,,03/01/2007,Ground Floor Sprinker Phase I,,0,,,
"City View Alterations, Inc.",,Robert Reyes,7182084588,718 408-1844,CVAwindows@aol.com,MBE,05/31/2017,HISPANIC,84-14 Pitkin Ave,,Ozone Park,NY,11417,84-14 Pitkin Ave,,Ozone Park,New York,11417,http://www.cityviewwindows.com,05/12/2000,,,"Supply and installation windows, doors, glass, storefront, curtainwall, caulking, aluminum panel, security screens.",,,Liberty Architectural Products,25200,,03/04/2005,Assembly and installation of storefronts and doors.,Rure Associates,157000,,12/22/2004,"Installation of all windows, panels, caulking and kalwall gym windows.",Jimweber & Associates,23000,,06/16/2004,"Removal of old and installation of 62 new windows, complete with caulk, trim and screens.",,0,,,
The Robert Lawrence Orchestra,,Susan Scherman,2125061964,212 500-3580,sscherman@kasowitz.com,WBE,,NON-MINORITY,7 Cooper Place,,Weehawken,NJ,07086,7 Cooper Place,,Weehawken,New Jersey,07086,http://www.eaglestalentconnection.com,01/01/1994,,,"The Robert Lawrence orchestra provides big band, jazz & swing music to the general public. Each performance is tailored to the needs of each client.",,,Downtown Brooklyn Partnership,620,,06/01/2011,Outdoor Jazz Concert for 2 Hours,,0,,,,,0,,,,,0,,,
AJC Design LLC,,Alicia Cannon,6464298793,,acannon@ajcinteriordesign.com,WBE,,NON-MINORITY,333 East 108 Street,6B,New York,NY,10029,333 East 108 Street,6B,New York,New York,10029,http://www.ajcinteriors.com,08/27/2007,,,"Hospitality, commercial and residential design firm.  Specializing in luxuryb brand hotels.  Doles renovation and ground up hew build.  Doler procurement fixtures, furniture & equipment (ff +E)",,,Denihan Hospitality,18000,100,08/01/2014,Redisign 2 Penthouse Suites,LAM GROUP,11500,100,06/01/2012,"Update 128 guestrooms, lobby area, outdoor terraces and excercise room",Masterworks Development,3000,100,06/01/2014,Guestroom and Corridor Renovation,Ranger Properties,68000,100,03/01/2011,Ground Up Hotel
"Pro Max Distributors, Ltd",,Gerald Bush,6319512348,631 435-3044,promaxcomm@netzero.com,MBE,07/31/2018,BLACK,198 Brentwood Parkway,,Brentwood,NY,11717,198 Brentwood Parkway,,Brentwood,New York,11717,,07/30/1997,,,Intercom systems - EML locking systems access control CCTV- systems,,,NYCHA,0,,08/21/2007,upgrade intercome system,NYCHA,0,,07/10/2013,Door repairs,C+C Management,0,,07/10/2013,Interior repair,,0,,,
Abacus Building Innovations Inc.,,Beatriz Restrepo,9172856112,7182054081,beatrizr@abacusbi.com,"MBE,WBE",09/30/2017;09/30/2017,HISPANIC,32-54 86th Street,,Flushing,NY,11369,32-54 86th Street,,Flushing,New York,11369,http://www.abacusbi.com,01/01/2008,,,"Construction company specializing in foundation work & superstructures. Our services include; site work, excavation, curbs, sidewalks, reinforced concrete, masonry work.",,,Boilermatic welding Industries,0,,08/01/2011,Site Demolition removals,,0,,,,,0,,,,,0,,,
"Total Safety Consulting, LLC",,Elizabeth Bifulco,7182735113,718 389-6155,ebifulco@totalsafety.org,WBE,,NON-MINORITY,751 Broadway,,Bayonne,NJ,07002,751 Broadway,,Bayonne,New Jersey,07002,http://www.totalsafety.org,11/14/1996,,,"The company assists companies in improving safety performance, therefore protecting the viability and competitiveness of their enterprise. Our professional staff is dedicated to the integration of proven loss control methods to assist clients in protecting their interests through reduced accidents, thus lowering construction costs, while simultaneously creating a safer work environment.",,,,0,,,,,0,,,,,0,,,,,0,,,
"People's Accident Information Service, Inc.",Securit,Lisa Dolan,7187466699,718 746-0422,ldolan@secur-it.com,WBE,,NON-MINORITY,25-18 Francis Lewis Boulevard,,Flushing,NY,11358,25-18 Francis Lewis Boulevard,,Flushing,New York,11358,http://www.secur-it.com,11/01/1997,,,"We are a licensed private investigations and security firm. We provide due diligence checks, background investigations and surveillance. We provide armed and unarmed security and executive protection.",,,Internal Revenue Service,2202855,,05/30/2007,"Provide armed guards, supervisors, and project managers daily.","Audemars Piguet, N.A.",585000,,05/30/2007,Provide armed guards for international swiss watch boutique as well as personal armed escorts and all special events.,Smithsonian Cooper-Hewitt Museum,555000,,05/30/2007,Securit provides unarmed guards and supervision to the Museum. All guards are trained in museum security in addition to state mandated requisite training.,IRS,2500000,,12/01/2011,"We provide armed guards, a project manager & 3 supervisors to this 550,000 24 Soft Facility"
SLAB Architecture PLLC,,Jill Leckner,7186663330,718 666-3332,jill@slab-a.net,WBE,,NON-MINORITY,55 Washington Street,Ste. 804,Brooklyn,NY,11201,55 Washington Street,Ste. 804,Brooklyn,New York,11201,http://www.slab-a.net,01/01/2008,,,"SLAB Architecture PLLC provides professional architectural services, urban planning and identity consulting, interior design services, and innovative research and art based design projects.",,,World Science Festival,0,,01/01/2010,"Designed the new offices for the world Science Festival, an exciting non-for-profit organization.",NYSE Euronext,0,,01/01/2009,Upgrade trading floor with new state of the art display system featurin entire range of products offered by exchange.,,0,,,,,0,,,
"Paper Girl Entertainment, Inc.",,Ftema Raysor,3474885393,,fraysor@yahoo.com,"MBE,WBE",03/31/2017;03/31/2017,BLACK,2817 Foster Avenue,Suite # 4D,Brooklyn,NY,11210,2817 Foster Avenue,Suite # 4D,Brooklyn,New York,11210,http://www.papergirlmusic.com,05/24/2005,,,A multi layered cooperation wihich consists music fashion and film. We do consulting and media conversation. Paper Girl Entertainment is a company for the people and by the people.,,,Wine & Spirits Food Week,300,,10/01/2010,Set up for marketing event organizing venue for company with hired designer of event decor,Long Island University,300,,01/01/2010,"Technical sound stage and visual support for a production, the production was publicized and I played many roles in making it happen",Metro PCS,0,,11/01/2010,Media conversion and marketing strategies for Metro PCS telecomm using innovative marketing approach,,0,,,
Linda Stone,,Linda Stone,2128883130,,lindstone@juno.com,WBE,,NON-MINORITY,"249 E 48th St.,",12B,New York,NY,10017,"249 E 48th St.,",12B,New York,New York,10017,http://lindastonerpa.com,07/01/1992,,,"Archaeological consulting services- including phased archaeological studies, cultural resources compliance and archaeological preservation planning.",,,Donofrio General Contractors,5500,100,07/01/2013,"Archaeological field work, analysis and reporting.",West 8,47084,99,08/01/2012,Archaeological research and planning for a new park on Governors Island.,Commodore Construction Corp.,215573,72,03/01/2014,"Implementation of archaeological work plan including field work, analysis and reporting associated with the construction of the new park on Governors Island.",,0,,,
Kaja Kuehl,YOU ARE THE CITY,Kaja Kuehl,9179165478,,Kaja@youarethecity.com,WBE,,NON-MINORITY,33 Flatbush Ave.,6th Floor,Brooklyn,NY,11217,33 Flatbush Ave.,6th Floor,Brooklyn,New York,11217,http://www.youarethecity.com,11/01/2007,,,"'You Are the City' provides planning and urban design services, facilitation at community design workshops and zoning feasibility studies.",,,Friends of Morningside Park,3000,100,01/01/2014,Design of fitness trail in Morningside Park,Design Trust for Public Space,6000,50,12/01/2013,Reseach & design for publication,Public Policy Lab,5000,100,07/01/2013,Evaluation of Pilot Project,,0,,,
BTF Construction LLC,,Otencia Chance-Green,3476150313,914-931-1139,btfconstruction@yahoo.com,"MBE,WBE",05/31/2017;05/31/2017,BLACK,990 Montgomery Street,Apt 8E,Brooklyn,NY,11213,2550 Olinville Avenue,Apt. 5F,BRONX,New York,10467,http://www.btfconstruction.com,10/05/2010,20000,,"Masonry including concrete, block, stone ,brickwork; Residential and commercial remodeling; brick and exterior restoration; sheetrock and drywall installation; retaining walls; concrete driveways and walkways; bathroom and kitchen remodeling; marble and c",,,,0,,,,,0,,,,,0,,,,,0,,,
"K & M Electrical Contracting, Inc.",K & M Electric,Shannon Russo,2126753486,646 230-6400,shannon@kandmelectric.com,MBE,02/28/2018,HISPANIC,200 Varick Street,Suite 608,New York,NY,10014,200 Varick Street,Suite 608,New York,New York,10014,http://www.kandmelectric.com,06/27/2003,,Electric IBEW 3,"Electrical contracting company that performs all facets of electrical installations including, but not limited to, extimating new projects, managing the progress of ongoing jobs, supervising the owrkforce, and presideing over bookkeping operations within the office.",,,Universal Management Corp.,292713,,10/31/2007,"Furnish & install wiring, fire alarm, switches, outlets, light fixtures, dedicated circuits, and workstation wiring for new tenant dpace",Unity International Group,507150,,06/01/2012,Provide labor to coordinate & handle delivery of panelboards & transformers to jobsite.,Interior Construction,188925,,05/01/2012,"Furnish & install lights, fire alarms, power curcuits, temp lights for build out of new tenant space",,0,,,
"Aromatx Cleaning Services, LLC",,Lutricia Black-Hinkson,9178872704,,lutriciablack@gmail.com,"MBE,WBE",05/30/2020;05/30/2020,BLACK,85 Eastern Parkway,3A,Brooklyn,NY,11238,85 Eastern Parkway,3A,Brooklyn,New York,11238,http://www.aromatxcleaningservices.com,06/14/2012,5000,,"Aromatx Cleaning Services provides impeccable cleaning that leaves our clients with a sense of vitality and well being. Aromatx is committed to a sustainable environment and use only non toxic, biodegradeable, organic and aromatic products.",,,Malik Annur,153,100,09/20/2014,"Clean and sanitize bathrooms, vacuum and mop floors, dust, organize drawers, change linen, etc.",Alison Gardner,120,100,09/24/2014,"Clean and sanitize bathrooms, vacuum, mop, make bed, dust, wash rugs, sanitize cabinets, trash cans, etc.",Debra Nobile,105,100,09/14/2014,"Wash levolor blinds, clean and sanitize bathroom, kitchen, vacuum, mop, dust, clean windows, etc.",Michele McCoy,424.61,100,09/24/2013,"Deep cleaned apartment for new tenant's arrival.  Cleaned refrigerator, oven, windows, walls trashed cans, etc."
"Tronilo Properties, Inc.",,Pedro Tronilo,7182964400,718 795-9004,reo@troniloproperties.com,MBE,04/30/2016,HISPANIC,79-26 Jamaica Avenue,2nd Fl.,Woodhaven,NY,11421,79-26 Jamaica Avenue,2nd Fl.,Woodhaven,New York,11421,http://www.Troniloproperties.com,11/22/1994,,,"Sales, rentee & property management.",,,Premiere Asset Services,465814,,08/30/2008,"Property management (marketing, selling, eviction).",One West Bank,187213,,08/30/2008,Property management,MD Webb Associates,37110,,02/27/2009,Property managment.,,0,,,
Ryan's Renovation Corporation,,Farah Alladin,7187922630,(718) 792-2630,ryanrenocorp@gmail.com,MBE,07/30/2019,ASIAN,2431 Buck Street,,Bronx,NY,10461,2431 Buck Street,,Bronx,New York,10461,,01/10/2013,,,"We remodel and renovate homes.  This includes: bath and kitchen renovations, general carpentry work including floor tiles, wood floors, kitchen cabinets, bathroom fixtures, tubs, and painting, sealing, and kitchen countertops.",No,Residential Building Construction,,0,,,,,0,,,,,0,,,,,0,,,
"A.L. Wall Partitions, Inc.",,Letisha Simmonds,3473171531,,info@alwallpartitions.com,MBE,01/30/2020,BLACK,2121 Cedar Avenue,# 9D,Bronx,NY,10468,2121 Cedar Avenue,# 9D,Bronx,New York,10468,http://www.alwallpartitions.com,07/12/2013,,,"Full service home improvement contractor specializing in wall partitions, interior residential painting services, office painting services, kitchen & bathroom (remodeling, demolition, gut renovations, property & building maintenance for residential & commercial spaces).",No,Building Construction (non-Residential); Residential Building Construction,Pelican Management,436,100,08/01/2014,Replaced water damaged sheetrock.,"Though Works, NYC",1742,100,03/01/2014,Built custom art gallery walls.,Pelican Management,2400,100,11/01/2014,"Kitchen renovations - demo, replace old subfloor.",Pelican Management,2400,100,11/01/2014,"Kitchen renovations - demo, replace old subfloor."
